pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,pl_pubdate
WASP-1 b,WASP-1,2.51994529,5.6e-7,-5.6e-7,0,0.03889,0.00053,-0.00073,0,1.449,0.041,-0.041,0,0.846,0.054,-0.054,0,0.34609,0.03724,-0.03724,0,0.,,,0,1812,14,-14,0,6110.,,,0,,,,,,,,,0.26,,,0,[Fe/H],,,,,,,,,2016-06
HATS-11 b,HATS-11,3.6191613,9.9e-6,-9.9e-6,0,0.04614,0.00093,-0.00093,0,1.51,0.078,-0.078,0,0.85,0.12,-0.12,0,0.299,0.071,-0.05,0,0.34,,,1,1637,48,-48,0,6060.,150.,-150.,0,1.44,0.06,-0.06,0,1.,0.06,-0.06,0,-0.39,0.06,-0.06,0,[Fe/H],7.7,2.2,-1.6,0,0.471,0.037,-0.052,0,2016-10
WASP-79 b,WASP-79,3.662392,4.e-6,-4.e-6,0,0.0519,0.0008,-0.0008,0,1.53,0.04,-0.04,0,0.85,0.08,-0.08,0,0.318,0.031,-0.031,0,0.,,,0,1716,26,-24,0,6600.,100.,-100.,0,1.51,0.04,-0.03,0,1.39,0.06,-0.06,0,0.03,0.1,-0.1,0,[Fe/H],1.4,0.3,-0.3,0,0.575,0.017,-0.017,0,2017-01
WASP-176 b,WASP-176,3.899052,5.e-6,-5.e-6,0,0.0535,0.001,-0.0019,0,1.505,0.05,-0.045,0,0.855,0.072,-0.069,0,0.31,0.042,-0.042,0,0.,,,0,1721,28,-21,0,5941.,77.,-79.,0,1.93,0.05,-0.04,0,1.34,0.08,-0.13,0,0.164,0.081,-0.082,0,[Fe/H],4.81,0.191,-0.191,0,0.371,0.042,-0.045,0,2020-06
K2-238 b,K2-238,3.20466,0.00003,-0.00003,0,0.046,0.007,-0.006,0,1.3,0.15,-0.14,0,0.86,0.13,-0.12,0,0.56,0.25,-0.16,0,0.,,,0,1587,75,-76,0,5630.,78.,-78.,0,1.59,0.16,-0.16,0,1.19,0.08,-0.08,0,0.34,0.04,-0.04,0,[Fe/H],5.63,1.05,-1.97,0,0.0775,0.0004,-0.0003,0,2018-08
WASP-78 b,WASP-78,2.175173,3.e-6,-3.e-6,0,0.0367,0.0008,-0.0008,0,2.06,0.1,-0.1,0,0.86,0.08,-0.08,0,0.131,0.019,-0.019,0,0.,,,0,2470,54,-56,0,6100.,150.,-150.,0,2.35,0.1,-0.09,0,1.39,0.09,-0.08,0,-0.35,0.14,-0.14,0,[Fe/H],2.8,1.6,-0.3,0,0.152,0.014,-0.014,0,2017-01
WASP-59 b,WASP-59,7.919585,0.00001,-0.00001,0,0.0697,0.0011,-0.0011,0,0.775,0.068,-0.068,0,0.863,0.045,-0.045,0,2.4,0.7,-0.7,0,0.1,0.042,-0.042,0,670,35,-35,0,4650.,150.,-150.,0,0.61,0.04,-0.04,0,0.72,0.04,-0.04,0,-0.15,0.11,-0.11,0,[Fe/H],0.5,0.7,-0.4,0,4.38,0.9,-0.9,0,2013-01
KELT-8 b,KELT-8,3.24406,0.00016,-0.00016,0,0.04571,0.00096,-0.00084,0,1.86,0.18,-0.16,0,0.867,0.065,-0.061,0,0.167,0.047,-0.038,0,0.035,0.05,-0.025,0,1675,61,-55,0,5754.,54.,-55.,0,1.67,0.14,-0.12,0,1.21,0.08,-0.07,0,0.272,0.038,-0.038,0,[Fe/H],5.4,0.4,-0.5,0,0.369,0.073,-0.067,0,2015-09
WASP-44 b,WASP-44,2.423804,8.e-6,-8.e-6,0,0.03453,0.00065,-0.00065,0,1.1,0.081,-0.076,0,0.87,0.063,-0.062,0,0.811,0.188,-0.155,0,,,,,1337,43,-42,0,5420.,100.,-100.,0,0.91,0.05,-0.05,0,0.94,0.05,-0.05,0,-0.003,0.1,-0.1,0,[Fe/H],,,,,1.77,0.3,-0.25,0,2019-11
HATS-31 b,HATS-31,3.37796,0.000012,-0.000012,0,0.0478,0.0012,-0.0012,0,1.64,0.22,-0.22,0,0.88,0.12,-0.12,0,0.243,0.124,-0.088,0,0.233,,,1,1823,81,-81,0,6050.,120.,-120.,0,1.87,0.18,-0.18,0,1.27,0.1,-0.1,0,0.,0.07,-0.07,0,[Fe/H],4.3,1.1,-1.1,0,0.275,0.082,-0.059,0,2016-12
TOI-640 b,TOI-640,5.0037775,4.8e-6,-4.8e-6,0,0.06608,0.00098,-0.0011,0,1.771,0.06,-0.056,0,0.88,0.16,-0.16,0,0.195,0.042,-0.04,0,0.05,0.054,-0.035,0,1749,26,-30,0,6460.,130.,-150.,0,2.08,0.06,-0.06,0,1.54,0.07,-0.08,0,0.072,0.085,-0.076,0,[Fe/H],1.99,0.55,-0.4,0,0.24,0.024,-0.025,0,2021-04
CoRoT-12 b,CoRoT-12,2.828042,0.000013,-0.000013,0,0.0394,0.0012,-0.0012,0,1.35,0.075,-0.075,0,0.887,0.079,-0.079,0,0.448,0.069,-0.069,0,,,,,1410,28,-28,0,5675.,80.,-80.,0,1.05,0.04,-0.04,0,1.02,0.09,-0.09,0,0.16,0.1,-0.1,0,[Fe/H],5.8,3.8,-6.9,0,1.25,0.11,-0.11,0,2011-11
WASP-145 A b,WASP-145 A,1.7690381,8.e-7,-8.e-7,0,0.0261,0.0005,-0.0005,0,0.9,0.4,-0.4,0,0.89,0.04,-0.04,0,1.6,1.3,-1.3,0,0.,,,0,1200,60,-60,0,4900.,150.,-150.,0,0.68,0.07,-0.07,0,0.76,0.04,-0.04,0,-0.04,0.1,-0.1,0,,6.99,4.4,-4.4,0,3.36,1.31,-1.31,0,2019-01
WASP-58 b,WASP-58,5.01718,0.000011,-0.000011,0,0.0561,0.002,-0.002,0,1.37,0.2,-0.2,0,0.89,0.07,-0.07,0,0.45,0.19,-0.19,0,0.,,,0,1270,80,-80,0,5800.,150.,-150.,0,1.17,0.13,-0.13,0,0.94,0.1,-0.1,0,-0.45,0.09,-0.09,0,[Fe/H],3.2,4.5,-2.1,0,0.82,0.27,-0.27,0,2013-01
HAT-P-45 b,HAT-P-45,3.128992,0.000021,-0.000021,0,0.0452,0.0007,-0.0007,0,1.426,0.175,-0.087,0,0.892,0.137,-0.099,0,0.38,0.09,-0.09,0,0.049,0.063,-0.063,0,1652,90,-52,0,6330.,100.,-100.,0,1.32,0.15,-0.07,0,1.26,0.06,-0.06,0,0.07,0.1,-0.1,0,[Fe/H],2.,0.8,-0.8,0,,,,,2014-06
WASP-123 b,WASP-123,2.9776412,2.3e-6,-2.3e-6,0,0.04263,0.00074,-0.00074,0,1.318,0.065,-0.065,0,0.899,0.036,-0.036,0,0.521,0.074,-0.074,0,0.,,,0,1520,50,-50,0,5740.,130.,-130.,0,1.28,0.05,-0.05,0,1.17,0.06,-0.06,0,0.18,0.08,-0.08,0,[Fe/H],6.9,1.4,-1.4,0,0.773,0.083,-0.083,0,2016-06
WASP-180 A b,WASP-180 A,3.409264,1.e-6,-1.e-6,0,0.048,0.001,-0.001,0,1.24,0.04,-0.04,0,0.9,0.1,-0.1,0,0.61,0.07,-0.07,0,0.,,,0,1540,40,-40,0,6600.,200.,-200.,0,1.19,0.06,-0.06,0,1.3,0.1,-0.1,0,0.1,0.2,-0.2,0,[Fe/H],1.2,1.,-1.,0,1.17,0.01,-0.01,0,2019-12
KELT-4 A b,KELT-4 A,2.9895932,4.9e-6,-4.9e-6,0,0.04317,0.00079,-0.00074,0,1.699,0.046,-0.045,0,0.902,0.06,-0.059,0,0.228,0.019,-0.018,0,0.,,,0,1823,27,-27,0,6206.,75.,-75.,0,1.6,0.04,-0.04,0,1.2,0.07,-0.06,0,-0.116,0.065,-0.069,0,[Fe/H],4.44,0.78,-0.89,0,0.411,0.018,-0.017,0,2016-02
HAT-P-13 b,HAT-P-13,2.9162382,1.6e-6,-1.6e-6,0,0.0431,0.0012,-0.0012,0,1.487,0.038,-0.038,0,0.906,0.023,-0.023,0,0.362,0.028,-0.028,0,0.0133,0.0041,-0.0041,0,1740,27,-27,0,5653.,,,0,,,,,,,,,0.41,,,0,[Fe/H],,,,,,,,,2016-06
WASP-28 b,WASP-28,3.40883,6.e-6,-6.e-6,0,0.04469,0.00076,-0.00076,0,1.213,0.042,-0.042,0,0.907,0.043,-0.043,0,0.676,0.063,-0.063,0,0.,,,0,1468,37,-37,0,6150.,140.,-140.,0,1.09,0.03,-0.03,0,1.02,0.05,-0.05,0,-0.29,0.1,-0.1,0,[Fe/H],5.,3.,-2.,0,1.104,0.082,-0.082,0,2015-03
KELT-15 b,KELT-15,3.329441,0.000016,-0.000016,0,0.04613,0.00065,-0.00065,0,1.443,0.11,-0.057,0,0.91,0.21,-0.22,0,0.36,0.11,-0.1,0,0.,,,0,1642,45,-25,0,6003.,56.,-52.,0,1.48,0.09,-0.04,0,1.18,0.05,-0.05,0,0.047,0.032,-0.032,0,[Fe/H],,,,,0.514,0.034,-0.076,0,2016-06
TrES-4 b,TrES-4,3.5539246,1.4e-6,-1.4e-6,0,0.05084,0.0005,-0.0005,0,1.706,0.056,-0.056,0,0.917,0.07,-0.07,0,0.23,0.029,-0.029,0,0.,,,0,1778,22,-22,0,6200.,,,0,,,,,,,,,0.14,,,0,[Fe/H],,,,,,,,,2016-06
HATS-32 b,HATS-32,2.8126548,5.5e-6,-5.5e-6,0,0.04024,0.00053,-0.00053,0,1.249,0.144,-0.096,0,0.92,0.1,-0.1,0,0.58,0.16,-0.16,0,0.471,,,1,1437,58,-58,0,5700.,110.,-110.,0,1.1,0.1,-0.06,0,1.1,0.04,-0.04,0,0.39,0.05,-0.05,0,[Fe/H],3.5,1.8,-1.8,0,1.17,0.22,-0.22,0,2016-12
WASP-76 b,WASP-76,1.809886,1.e-6,-1.e-6,0,0.033,0.0005,-0.0005,0,1.83,0.06,-0.04,0,0.92,0.03,-0.03,0,0.201,0.013,-0.013,0,0.,,,0,2160,40,-40,0,6250.,100.,-100.,0,1.73,0.04,-0.04,0,1.46,0.07,-0.07,0,0.23,0.1,-0.1,0,[Fe/H],5.3,6.1,-2.9,0,0.403,0.011,-0.025,0,2016-01
HATS-55 b,HATS-55,4.2042001,3.3e-6,-3.3e-6,0,0.05412,0.00014,-0.00018,0,1.251,0.026,-0.026,0,0.921,0.076,-0.076,0,0.587,0.062,-0.062,0,0.092,,,1,1367,10,-10,0,6214.,36.,-36.,0,1.13,0.01,-0.01,0,1.2,0.01,-0.01,0,0.108,0.046,-0.03,0,[Fe/H],0.4,0.29,-0.13,0,1.179,0.029,-0.029,0,2019-08
WASP-98 b,WASP-98,2.96264036,4.3e-7,-4.3e-7,0,0.03762,0.001,-0.001,0,1.144,0.034,-0.034,0,0.922,0.08,-0.08,0,0.764,0.062,-0.062,0,,,,,1171,26,-26,0,5473.,121.,-121.,0,0.74,0.02,-0.02,0,0.81,0.06,-0.06,0,-0.49,0.1,-0.1,0,[Fe/H],2.7,6.8,-2.7,0,2.801,0.065,-0.065,0,2016-09
XO-1 b,XO-1,3.9415128,2.8e-6,-2.8e-6,0,0.04944,0.0008,-0.0008,0,1.206,0.041,-0.041,0,0.924,0.077,-0.077,0,0.7,0.084,-0.084,0,,,,,1210,16,-16,0,5750.,50.,-50.,0,0.94,0.02,-0.02,0,1.04,0.05,-0.05,0,0.02,0.05,-0.05,0,[Fe/H],0.9,2.5,-1.2,0,1.75,0.113,-0.113,0,2010-11
K2-140 b,K2-140,6.569188,0.000031,-0.000031,0,0.068,0.001,-0.001,0,1.21,0.09,-0.09,0,0.93,0.04,-0.04,0,0.66,0.18,-0.18,0,0.,,,0,962,28,-28,0,5585.,120.,-120.,0,1.06,0.07,-0.06,0,0.96,0.06,-0.04,0,0.1,0.1,-0.1,0,[Fe/H],9.8,3.4,-4.6,0,1.133,0.284,-0.284,0,2019-01
NGTS-8 b,NGTS-8,2.4997,0.00001,-0.00001,0,0.035,0.001,-0.001,0,1.09,0.03,-0.03,0,0.93,0.04,-0.03,0,0.89,0.08,-0.07,0,0.01,0.014,-0.01,0,1345,19,-19,0,5241.,50.,-50.,0,0.98,0.02,-0.02,0,0.89,0.05,-0.04,0,0.24,0.09,-0.09,0,[Fe/H],12.48,3.23,-3.68,0,,,,,2020-01
WASP-2 b,WASP-2,2.152175,0.000012,-0.000011,0,0.03144,0.00088,-0.00087,0,1.081,0.041,-0.04,0,0.931,0.06,-0.058,0,0.914,0.074,-0.071,0,,,,,1311,52,-50,0,5180.,190.,-190.,0,0.87,0.03,-0.03,0,0.9,0.08,-0.07,0,0.12,0.21,-0.19,0,[Fe/H],,,,,1.94,0.1,-0.1,0,2019-11
KELT-23 A b,KELT-23 A,2.255251,0.000011,-0.000012,0,0.03302,0.00068,-0.00064,0,1.323,0.025,-0.025,0,0.938,0.048,-0.044,0,0.503,0.039,-0.036,0,0.,,,0,1561,20,-20,0,5899.,49.,-49.,0,1.,0.01,-0.01,0,0.94,0.06,-0.05,0,-0.105,0.078,-0.077,0,[Fe/H],6.4,3.5,-3.2,0,1.349,0.09,-0.083,0,2019-08
TOI-2193 A b,TOI-2193 A,2.1225735,1.6e-6,-1.6e-6,0,0.03319,0.00052,-0.00051,0,1.77,,,0,0.94,0.18,-0.18,0,0.06,,,0,0.,,,0,1763,21,-22,0,5966.,73.,-72.,0,1.25,0.03,-0.03,0,1.08,0.05,-0.05,0,0.027,0.066,-0.052,0,[Fe/H],5.5,1.9,-1.7,0,0.781,0.072,-0.052,0,2022-08
HATS-34 b,HATS-34,2.1061607,4.7e-6,-4.7e-6,0,0.03166,0.00034,-0.00034,0,1.43,0.19,-0.19,0,0.941,0.072,-0.072,0,0.4,0.19,-0.13,0,0.108,,,1,1445,42,-42,0,5380.,73.,-73.,0,0.98,0.05,-0.05,0,0.95,0.03,-0.03,0,0.25,0.07,-0.07,0,[Fe/H],7.7,2.7,-2.7,0,1.44,0.22,-0.22,0,2016-12
Kepler-412 b,Kepler-412,1.7208604,3.e-7,-3.e-7,0,0.02897,0.00093,-0.00092,0,1.341,0.044,-0.046,0,0.941,0.125,-0.019,0,0.52,0.13,-0.04,0,,,,,1850,30,-30,0,5750.,90.,-90.,0,1.29,0.04,-0.04,0,1.17,0.09,-0.09,0,0.27,0.12,-0.12,0,[Fe/H],,,,,,,,,2015-05
KELT-12 b,KELT-12,5.031623,0.000032,-0.000031,0,0.06708,0.00097,-0.0013,0,1.78,0.17,-0.16,0,0.95,0.14,-0.14,0,0.209,0.071,-0.053,0,0.,,,0,1800,57,-57,0,6279.,51.,-51.,0,2.37,0.17,-0.17,0,1.59,0.07,-0.09,0,0.19,0.084,-0.085,0,[Fe/H],2.2,0.1,-0.1,0,0.168,0.035,-0.028,0,2017-04
WASP-68 b,WASP-68,5.084298,0.000015,-0.000015,0,0.06206,0.00045,-0.0004,0,1.24,0.1,-0.06,0,0.95,0.03,-0.03,0,0.665,0.093,-0.133,0,0.,,,0,1490,44,-29,0,5911.,59.,-60.,0,1.69,0.11,-0.06,0,1.24,0.03,-0.03,0,0.22,0.08,-0.08,0,[Fe/H],,,,,0.366,0.042,-0.07,0,2014-03
HATS-63 b,HATS-63,3.0566527,4.9e-6,-4.9e-6,0,0.04026,0.00028,-0.00028,0,1.207,0.039,-0.039,0,0.96,0.12,-0.12,0,0.67,0.11,-0.11,0,0.136,,,0,1398,9,-9,0,5627.,18.,-18.,0,1.07,0.01,-0.01,0,0.93,0.02,-0.02,0,0.081,0.038,-0.038,0,[Fe/H],10.3,1.1,-1.1,0,1.071,0.047,-0.047,0,2019-02
HATS-64 b,HATS-64,4.908897,0.000013,-0.000013,0,0.06562,0.00039,-0.00039,0,1.679,0.081,-0.081,0,0.96,0.2,-0.2,0,0.245,0.068,-0.05,0,0.151,,,0,1793,27,-27,0,6554.,27.,-27.,0,2.11,0.07,-0.07,0,1.56,0.03,-0.03,0,0.22,0.039,-0.039,0,[Fe/H],1.861,0.097,-0.18,0,0.234,0.02,-0.02,0,2019-02
WASP-45 b,WASP-45,3.126089,3.e-6,-3.e-6,0,0.03963,0.00114,-0.00112,0,0.946,0.058,-0.051,0,0.964,0.058,-0.056,0,1.418,0.207,-0.207,0,,,,,1153,50,-50,0,5150.,200.,-200.,0,0.85,0.04,-0.04,0,0.85,0.08,-0.07,0,-0.03,0.2,-0.2,0,[Fe/H],,,,,1.92,0.17,-0.17,0,2019-11
TOI-1130 c,TOI-1130,8.350381,0.000032,-0.000033,0,0.07098,0.00056,-0.0006,0,1.5,0.27,-0.22,0,0.974,0.043,-0.044,0,0.38,0.24,-0.15,0,0.047,0.04,-0.027,0,637,12,-12,0,4250.,67.,-67.,0,0.69,0.01,-0.01,0,0.68,0.02,-0.02,0,0.2,,,-1,[Fe/H],8.2,3.8,-4.9,0,2.97,0.2,-0.17,0,2020-03
WASP-41 b,WASP-41,3.05240154,4.1e-7,-4.1e-7,0,0.041,0.0005,-0.0005,0,1.178,0.018,-0.018,0,0.977,0.026,-0.026,0,0.742,0.028,-0.028,0,,,,,1242,12,-12,0,5546.,50.,-50.,0,0.89,0.01,-0.01,0,0.99,0.03,-0.03,0,0.06,0.05,-0.05,0,[Fe/H],1.2,1.1,-0.2,0,2.,0.048,-0.048,0,2016-04
WASP-185 b,WASP-185,9.38755,0.00002,-0.00002,0,0.0904,0.0017,-0.0017,0,1.25,0.08,-0.08,0,0.98,0.06,-0.06,0,0.66,0.16,-0.16,0,0.24,0.04,-0.04,0,1160,35,-35,0,5900.,100.,-100.,0,1.5,0.08,-0.08,0,1.12,0.06,-0.06,0,-0.02,0.06,-0.06,0,[Fe/H],6.6,1.6,-1.6,0,0.47,0.08,-0.08,0,2019-11
WASP-7 b,WASP-7,4.9546416,3.5e-6,-3.5e-6,0,0.0624,0.0011,-0.0011,0,1.374,0.094,-0.094,0,0.98,0.13,-0.13,0,0.469,0.116,-0.116,0,,,,,1530,45,-45,0,6520.,70.,-70.,0,1.48,0.09,-0.09,0,1.32,0.07,-0.07,0,0.,0.1,-0.1,0,[Fe/H],1.9,0.8,-0.7,0,0.575,0.096,-0.096,0,2012-10
WASP-48 b,WASP-48,2.14363592,4.6e-6,-4.6e-6,0,0.0344,0.0026,-0.0026,0,1.67,0.1,-0.1,0,0.984,0.085,-0.085,0,0.263,0.052,-0.052,0,0.,,,0,2035,52,-52,0,5920.,,,0,,,,,,,,,-0.12,,,0,[Fe/H],,,,,,,,,2016-06
TOI-1601 b,TOI-1601,5.331751,0.000011,-0.000011,0,0.06864,0.00079,-0.00075,0,1.239,0.046,-0.039,0,0.99,0.11,-0.11,0,0.64,0.097,-0.093,0,0.036,0.044,-0.026,0,1619,24,-23,0,5948.,87.,-89.,0,2.19,0.07,-0.06,0,1.52,0.05,-0.05,0,0.329,0.073,-0.075,0,[Fe/H],2.64,0.38,-0.39,0,0.205,0.016,-0.018,0,2021-04
WASP-175 b,WASP-175,3.0652907,1.1e-6,-1.6e-6,0,0.04403,0.00055,-0.00055,0,1.208,0.081,-0.081,0,0.99,0.13,-0.13,0,0.74,0.2,-0.15,0,0.,,,0,1571,49,-49,0,6229.,100.,-100.,0,1.2,0.06,-0.06,0,1.21,0.04,-0.04,0,0.15,0.069,-0.069,0,[Fe/H],1.745,0.995,-0.995,0,0.977,0.176,-0.133,0,2019-10
Kepler-44 b,Kepler-44,3.2467293,3.e-6,-3.e-6,0,0.0446,0.0011,-0.0011,0,1.09,0.07,-0.07,0,1.,0.1,-0.1,0,0.93,0.19,-0.17,0,0.066,,,1,1544,47,-47,0,5800.,100.,-100.,0,1.35,0.08,-0.08,0,1.12,0.08,-0.08,0,0.15,0.1,-0.1,0,[Fe/H],5.8,2.4,-1.5,0,0.63,0.1,-0.1,0,2015-03
WASP-129 b,WASP-129,5.748145,4.e-6,-4.e-6,0,0.0628,0.0007,-0.0007,0,0.93,0.03,-0.03,0,1.,0.1,-0.1,0,1.6,0.3,-0.3,0,0.096,,,1,1100,25,-25,0,5900.,100.,-100.,0,0.9,0.02,-0.02,0,1.,0.03,-0.03,0,0.15,0.09,-0.09,0,[Fe/H],1.,0.9,-0.9,0,1.94,0.14,-0.14,0,2016-06
WASP-190 b,WASP-190,5.367753,4.e-6,-4.e-6,0,0.0663,0.0008,-0.0008,0,1.15,0.09,-0.09,0,1.,0.1,-0.1,0,,,,,0.,,,0,1500,50,-50,0,6400.,100.,-100.,0,1.6,0.1,-0.1,0,1.35,0.05,-0.05,0,-0.02,0.05,-0.05,0,[Fe/H],,,,,0.48,0.07,-0.07,0,2019-04
HD 202772 A b,HD 202772 A,3.308958,0.000083,-0.000083,0,0.05208,0.00064,-0.00068,0,1.545,0.052,-0.06,0,1.017,0.07,-0.068,0,0.343,0.043,-0.035,0,0.038,0.042,-0.027,0,2132,28,-30,0,6272.,77.,-71.,0,2.59,0.08,-0.09,0,1.72,0.06,-0.07,0,0.3,0.06,-0.06,0,[Fe/H],1.7,0.32,-0.26,0,0.14,0.015,-0.012,0,2019-02
TOI-3693 b,TOI-3693,9.088516,0.000026,-0.000027,0,0.0813,0.0011,-0.0012,0,1.124,0.029,-0.023,0,1.02,0.24,-0.22,0,0.89,0.22,-0.2,0,0.,0.048,-0.052,0,801,13,-12,0,5321.,86.,-82.,0,0.79,0.02,-0.01,0,0.87,0.04,-0.04,0,0.071,0.079,-0.076,0,[Fe/H],3.,3.8,-2.1,0,2.48,0.1,-0.16,0,2022-08
WASP-26 b,WASP-26,2.7565972,1.9e-6,-1.9e-6,0,0.03966,0.00056,-0.00056,0,1.216,0.047,-0.047,0,1.02,0.033,-0.033,0,0.703,0.06,-0.06,0,,,,,1650,24,-24,0,6015.,55.,-55.,0,1.28,0.04,-0.04,0,1.09,0.05,-0.05,0,-0.02,0.09,-0.09,0,[Fe/H],4.,5.9,-4.,0,0.729,0.052,-0.052,0,2014-10
HAT-P-42 b,HAT-P-42,4.641878,0.000032,-0.000032,0,0.0575,0.0011,-0.0011,0,1.28,0.153,-0.153,0,1.044,0.083,-0.083,0,0.61,0.34,-0.15,0,0.,,,0,1428,60,-60,0,5743.,50.,-50.,0,1.53,0.14,-0.14,0,1.18,0.07,-0.07,0,0.27,0.08,-0.08,0,[Fe/H],5.2,1.8,-0.7,0,,,,,2013-10
HAT-P-61 b,HAT-P-61,1.90231289,7.7e-7,-7.7e-7,0,0.0301,0.00034,-0.00034,0,0.899,0.027,-0.027,0,1.057,0.07,-0.07,0,1.8,0.2,-0.2,0,0.113,,,1,1505,16,-16,0,5587.,45.,-45.,0,0.94,0.01,-0.01,0,1.,0.03,-0.03,0,0.194,0.06,-0.06,0,[Fe/H],2.6,2.,-2.,0,1.715,0.094,-0.094,0,2021-07
OGLE-TR-182 b,OGLE-TR-182,3.9791,0.00001,-0.00001,0,0.05205,0.00065,-0.00065,0,1.47,0.14,-0.14,0,1.06,0.15,-0.15,0,0.442,0.148,-0.148,0,,,,,1550,81,-81,0,5924.,64.,-64.,0,1.53,0.17,-0.17,0,1.19,0.04,-0.04,0,0.37,0.08,-0.08,0,[Fe/H],4.3,1.5,-2.3,0,0.46,0.14,-0.14,0,2010-11
HAT-P-6 b,HAT-P-6,3.853003,1.4e-6,-1.4e-6,0,0.05244,0.00092,-0.00092,0,1.395,0.081,-0.081,0,1.063,0.057,-0.057,0,0.487,0.085,-0.085,0,,,,,1704,40,-40,0,6570.,80.,-80.,0,1.52,0.07,-0.07,0,1.29,0.07,-0.07,0,-0.13,0.08,-0.08,0,[Fe/H],2.3,0.6,-0.9,0,0.521,0.063,-0.063,0,2012-10
CoRoT-1 b,CoRoT-1,1.50897655,1.e-7,-1.e-7,0,0.0259,0.0011,-0.002,0,1.42,0.24,-0.24,0,1.07,0.17,-0.17,0,0.44,0.13,-0.13,0,0.071,0.62,-0.48,0,1834,46,-46,0,5950.,,,0,,,,,,,,,-0.3,,,0,[Fe/H],,,,,,,,,2016-06
WASP-75 b,WASP-75,2.484193,3.e-6,-3.e-6,0,0.0375,0.0007,-0.0008,0,1.27,0.048,-0.048,0,1.07,0.05,-0.05,0,0.69,0.08,-0.07,0,0.,,,0,1710,20,-20,0,6100.,100.,-100.,0,1.26,0.04,-0.04,0,1.14,0.07,-0.07,0,0.07,0.09,-0.09,0,[Fe/H],3.5,0.5,-0.5,0,0.79,0.06,-0.06,0,2013-11
HATS-14 b,HATS-14,2.7667641,2.7e-6,-2.7e-6,0,0.03815,0.00032,-0.00032,0,1.039,0.032,-0.022,0,1.071,0.07,-0.07,0,1.191,0.098,-0.14,0,0.142,,,1,1276,20,-20,0,5346.,60.,-60.,0,0.93,0.02,-0.01,0,0.97,0.02,-0.02,0,0.33,0.06,-0.06,0,[Fe/H],4.9,1.7,-1.7,0,1.682,0.071,-0.126,0,2015-08
HATS-3 b,HATS-3,3.547851,5.e-6,-5.e-6,0,0.0485,0.0004,-0.0006,0,1.381,0.035,-0.035,0,1.071,0.136,-0.136,0,0.51,0.07,-0.07,0,0.,,,0,1648,24,-24,0,6351.,76.,-76.,0,1.4,0.03,-0.03,0,1.21,0.04,-0.04,0,-0.157,0.07,-0.07,0,[Fe/H],3.2,0.6,-0.4,0,,,,,2013-11
WASP-171 b,WASP-171,3.8186244,3.8e-6,-3.8e-6,0,0.0504,0.00083,-0.00083,0,0.98,0.07,-0.04,0,1.084,0.094,-0.094,0,1.5,0.23,-0.29,0,0.,,,0,1642,51,-35,0,5965.,100.,-100.,0,1.64,0.09,-0.05,0,1.17,0.06,-0.06,0,0.04,0.07,-0.07,0,[Fe/H],5.908,1.051,-1.051,0,0.381,0.024,-0.059,0,2019-10
CoRoT-19 b,CoRoT-19,3.89713,0.00002,-0.00002,0,0.0512,0.0018,-0.0011,0,1.19,0.26,-0.069,0,1.09,0.093,-0.078,0,0.798,0.1463,-0.3591,0,,,,,1630,150,-40,0,6090.,70.,-70.,0,1.58,0.35,-0.1,0,1.18,0.13,-0.08,0,-0.02,0.1,-0.1,0,[Fe/H],4.9,0.7,-1.7,0,0.425,0.069,-0.176,0,2012-10
KPS-1 b,KPS-1,1.706291,0.000059,-0.000059,0,0.0269,0.001,-0.001,0,1.03,0.13,-0.12,0,1.09,0.086,-0.087,0,1.31,0.49,-0.36,0,0.,,,0,1459,56,-56,0,5165.,90.,-90.,0,0.91,0.09,-0.08,0,0.89,0.09,-0.1,0,0.22,0.13,-0.13,0,[Fe/H],,,,,1.68,0.41,-0.32,0,2018-07
CoRoT-35 b,CoRoT-35,3.22748,0.00008,-0.00008,0,0.0429,0.00092,-0.00092,0,1.68,0.11,-0.11,0,1.1,0.37,-0.37,0,0.29,0.11,-0.11,0,0.,,,0,1747,62,-62,0,6390.,130.,-130.,0,1.65,0.1,-0.11,0,1.01,0.07,-0.06,0,-0.5,0.1,-0.1,0,[Fe/H],6.1,1.3,-1.3,0,,,,,2022-07
