pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,pl_pubdate
HAT-P-24 b,HAT-P-24,3.35524,7.e-6,-7.e-6,0,0.0465,0.0006,-0.0006,0,1.242,0.067,-0.067,0,0.685,0.033,-0.033,0,0.44,0.07,-0.07,0,0.067,0.024,-0.024,0,1637,42,-42,0,6373.,80.,-80.,0,1.32,0.07,-0.07,0,1.19,0.04,-0.04,0,-0.16,0.08,-0.08,0,[Fe/H],2.8,0.6,-0.6,0,,,,,2010-12
WASP-84 b,WASP-84,8.5234962,3.7e-6,-3.7e-6,0,0.0775,0.0017,-0.0017,0,0.976,0.025,-0.025,0,0.687,0.033,-0.033,0,0.983,0.045,-0.045,0,0.,,,0,833,13,-13,0,5280.,80.,-80.,0,0.77,0.02,-0.02,0,0.85,0.06,-0.06,0,0.09,0.12,-0.12,0,[Fe/H],2.1,1.6,-1.6,0,2.653,0.069,-0.069,0,2015-02
HD 209458 b,HD 209458,3.52,,,0,,,,,1.36,,,0,0.69,,,0,,,,,,,,,1450,,,0,6052.,101.98,-99.29,0,1.19,0.04,-0.05,0,1.13,0.18,-0.13,0,0.05,0.1,-0.1,0,[M/H],,,,,0.9537,0.2089,-0.1703,0,2016-01
Kepler-15 b,Kepler-15,4.942782,0.000013,-0.000013,0,0.0583,0.0024,-0.0024,0,1.289,0.054,-0.054,0,0.696,0.099,-0.099,0,0.404,0.048,-0.048,0,,,,,1251,27,-27,0,5595.,120.,-120.,0,1.25,0.05,-0.05,0,1.08,0.13,-0.13,0,0.36,0.07,-0.07,0,[Fe/H],6.7,6.8,-1.9,0,0.772,0.011,-0.011,0,2012-10
HATS-45 b,HATS-45,4.1876244,5.6e-6,-5.6e-6,0,0.05511,0.00069,-0.00069,0,1.286,0.093,-0.093,0,0.7,0.15,-0.15,0,0.41,0.16,-0.11,0,0.24,,,1,1518,45,-45,0,6450.,110.,-110.,0,1.31,0.06,-0.06,0,1.27,0.05,-0.05,0,0.02,0.068,-0.068,0,[Fe/H],1.52,0.7,-0.7,0,0.79,0.1,-0.1,0,2018-03
TOI-1789 b,TOI-1789,3.208664,0.000015,-0.000015,0,0.04882,0.00063,-0.0016,0,1.44,0.24,-0.14,0,0.7,0.16,-0.16,0,0.28,0.14,-0.12,0,,,,,1927,27,-17,0,5991.,55.,-55.,0,2.17,0.04,-0.03,0,1.51,0.06,-0.14,0,0.373,0.071,-0.086,0,[Fe/H],2.73,1.3,-0.51,0,0.208,0.014,-0.02,0,2022-01
TOI-3714 b,TOI-3714,2.154849,1.e-6,-1.e-6,0,0.027,0.001,-0.001,0,1.01,0.03,-0.03,0,0.7,0.03,-0.03,0,0.85,0.08,-0.08,0,0.03,0.03,-0.02,0,750,20,-20,0,3660.,90.,-90.,0,0.51,0.01,-0.01,0,0.53,0.02,-0.02,0,0.1,0.1,-0.1,0,[Fe/H],2.9,2.2,-2.2,0,5.8,0.4,-0.3,0,2022-01
HATS-30 b,HATS-30,3.1743516,2.6e-6,-2.6e-6,0,0.04354,0.00042,-0.00042,0,1.175,0.052,-0.052,0,0.706,0.039,-0.039,0,0.543,0.076,-0.076,0,0.096,,,1,1414,32,-32,0,5943.,70.,-70.,0,1.06,0.04,-0.04,0,1.09,0.03,-0.03,0,0.06,0.05,-0.05,0,[Fe/H],2.3,1.2,-1.2,0,1.29,0.14,-0.14,0,2016-10
XO-7 b,XO-7,2.8641424,4.3e-6,-4.3e-6,0,0.04421,0.00062,-0.00062,0,1.373,0.026,-0.026,0,0.709,0.034,-0.034,0,0.34,0.027,-0.027,0,0.038,0.033,-0.033,0,1743,23,-23,0,6250.,100.,-100.,0,1.48,0.02,-0.02,0,1.41,0.06,-0.06,0,0.432,0.057,-0.057,0,[Fe/H],1.18,0.98,-0.71,0,,,,,2020-02
HAT-P-30 b,HAT-P-30,2.810595,5.e-6,-5.e-6,0,0.0419,0.0005,-0.0005,0,1.34,0.065,-0.065,0,0.711,0.028,-0.028,0,0.37,0.05,-0.05,0,0.035,0.024,-0.024,0,1630,42,-42,0,6304.,88.,-88.,0,1.22,0.05,-0.05,0,1.24,0.04,-0.04,0,0.13,0.08,-0.08,0,[Fe/H],1.,0.8,-0.5,0,,,,,2011-07
